"Post Required","Field Name","Friendly Name",Value
No,cobcoOutstandingjudgements,"Co-borrow Are there any outstanding judgements against you?",boolean
No,borhavebankrupt,"Have you declared bankruptcy within the past 7 years?",boolean
No,cobcoHavebankrupt,"Co-borrow Have you declared bankruptcy within the past 7 years?",boolean
No,borhaveforeclosed,"Have you conveyed title to any property in lieu of foreclosure in the past 7 years?",boolean
No,cobcoHaveforeclosed,"Co-borrow Have you conveyed title to any property in lieu of foreclosure in the past 7 years?",boolean
No,borpartylawsuit,"Are you a party to a lawsuit in which you potentially have any personal financial liability?",boolean
No,cobcoPartylawsuit,"Co-borrow Are you a party to a lawsuit in which you potentially have any personal financial liability?",boolean
No,borhaveobligated,"Have you directly or indirectly been obligated on any loan which resulted in foreclosure",boolean
No,cobcoHaveobligated,"Co-borrow Have you directly or indirectly been obligated on any loan which resulted in foreclosure",boolean
No,borpresentlydelinquent,"Are you currently delinquent or in default on a Federal debt?",boolean
No,cobcoPresentlydelinquent,"Co-borrow Are you currently delinquent or in default on a Federal debt?",boolean
No,borpayalimony,"Are you obligated to pay alimony, child support, or separate maintenance?",boolean
No,cobcoPayalimony,"Co-borrow Are you obligated to pay alimony, child support, or separate maintenance?",boolean
No,bordownpaymentbor,"Are you borrowing any money for this real estate transaction (e.g., money for your closing costs or down payment) or obtaining any money from another party, such as the seller or realtor, that you have not disclosed on this loan application?",boolean
No,cobcoDownpaymentbor,"Co-borrow Are you borrowing any money for this real estate transaction (e.g., money for your closing costs or down payment) or obtaining any money from another party, such as the seller or realtor, that you have not disclosed on this loan application?",boolean
No,borcomakernotes,"Are you a co-signer or guarantor on any debt or loan that is not disclosed on this application?",boolean
No,cobcoComakernotes,"Co-borrow Are you a co-signer or guarantor on any debt or loan that is not disclosed on this application?",boolean
No,borusCitizen,"Are you a U.S. citizen?",boolean
No,cobcoUScitizen,"Co-borrow Are you a U.S. citizen?",boolean
No,borresidentalien,"Are you a permanent resident alien?",boolean
No,cobcoResidentalien,"Co-borrow Are you a permanent resident alien?",boolean
No,borprimaryresidence,"Will you occupy the property as your primary residence?",boolean
No,cobcoPrimaryresidence,"Co-borrow Will you occupy the property as your primary residence?",boolean
No,borownershipinterest,"Have you had an ownership interest in a property in the last three years?",boolean
No,cobcoOwnershipinterest,"Co-borrow Have you had an ownership interest in a property in the last three years?",boolean
No,borpurchaseTransaction,"Do you have a family relationship or business affiliation with the seller of the property?",boolean
No,cobcoPurchaseTransaction,"Co-borrow If this is a Purchase Transaction: Do you have a family relationship or business affiliation with the seller of the property?",boolean
No,borpropertyForeclosed,"Have you had property foreclosed upon in the last 7 years?",boolean
No,cobcoPropertyForeclosed,"Co-borrow Have you had property foreclosed upon in the last 7 years?",boolean
No,boranotherProperty,"Have you or will you be applying for a mortgage loan on another property on this loan application?",boolean
No,cobcoAnotherProperty,"Co-borrow Have you or will you be applying for a mortgage loan on another property on this loan application?",boolean
No,boranotherCredit,"Have you or will you be applying for any new credit on this loan application?",boolean
No,cobcoAnotherCredit,"Co-borrow Have you or will you be applying for any new credit on this loan application?",boolean
No,borpropertyTaxes,"Will this property be subject to a lien that could take priority over the first mortgage lien, such as a clean energy lien paid through your property taxes?",boolean
No,cobcoPropertyTaxes,"Co-borrow Will this property be subject to a lien that could take priority over the first mortgage lien, such as a clean energy lien paid through your property taxes?",boolean
No,borpreforeclosureSale,"Within the past 7 years, have you completed a pre-foreclosure sale or short sale, whereby the property was sold to a third party and the Lender agreed to accept less than the outstanding mortgage balance due?",boolean
No,cobcoPreforeclosureSale,"Co-borrow Within the past 7 years, have you completed a pre-foreclosure sale or short sale, whereby the property was sold to a third party and the Lender agreed to accept less than the outstanding mortgage balance due?",boolean
No,coboutstandingJudgement,"QuickApp-DESCR Are there any outstanding judgements against you?",string
No,cobhavebankrupt,"QuickApp-DESCR Have you declared bankruptcy within the past 7 years?",string
No,cobhaveforeclosed,"QuickApp-DESCR Have you conveyed title to any property in lieu of foreclosure in the past 7 years?",string
No,cobpartylawsuit,"QuickApp-DESCR Are you a party to a lawsuit in which you potentially have any personal financial liability?",string
No,cobhaveobligated,"QuickApp-DESCR Directly or indirectly Transfer of title in lieu of foreclosure, or judgment?",string
No,cobpresentlydelinquent,"QuickApp-DESCR Are you presently delinquent bond, or loan guarantee?",string
No,cobpayalimony,"QuickApp-DESCR Are you obligated to pay alimony, child support, or separate maintenance?",string
